Repository_name	count	uniques
binderhub_clones	5	5
flow_clones	4	4
GitHub_traffic_crawler_clones	6	6
Hierarchical_nested_SBM_clones	508	84
introduction_networkx_clones	48	34
jhub_shibboleth_auth_clones	4	2
mlkoblenz_clones	1	1
orc_clones	960	62
promoss_clones	1	1
ptm_clones	26	26
repo2docker_clones	2	2
scientists-analysis-wikipedia_clones	2	2
WebApp_clones	4	4
wiki-download-parse-page-views_clones	2	2
WikiConflict_clones	1	1
Wikipedia-Politician-Network_clones	12	12
wikiwho_interactions_clones	21	18
workshop_girls_day_clones	1	1
zero-to-jupyterhub-k8s_clones	1	1
